rule_id,rule_name,rule_category,rule_description,risky_patterns,expected_condition,severity_default,enabled_flag,rule_version,created_at,updated_at
R008,Restricted Audit Rights,Compliance Risk,Audit rights appear constrained.,"[on-site audits are not permitted,one summary compliance statement per year]",Customer or controller should retain proportionate audit and assurance rights.,Medium,true,v1,2026-06-14 11:20:08.545431 UTC,2026-06-14 11:20:08.545431 UTC
R004,Weak Confidentiality,Confidentiality Risk,Confidentiality protection may be too narrow or too short.,"[only to information conspicuously marked confidential,expire six (6) months after disclosure,marked confidential at the time of disclosure]",Confidentiality should cover reasonably understood confidential information and survive for an adequate period.,Medium,true,v1,2026-06-14 11:19:54.989607 UTC,2026-06-14 11:19:54.989607 UTC
R010,Governing Law Outside Preferred Jurisdiction,Jurisdiction Risk,Governing law may require legal policy review depending on approved jurisdictions.,"[state of new york,delaware]",Governing law should align with approved enterprise legal policy.,Low,true,v1,2026-06-14 11:20:14.562824 UTC,2026-06-14 11:20:14.562824 UTC
R002,Unlimited Liability,Liability Risk,Clause removes or weakens limitation of liability protections.,"[unlimited liability,no liability cap,shall have no liability cap,any and all claims losses liabilities damages penalties fees costs and expenses]",Supplier or processor liability should be capped except for narrow carve-outs.,Critical,true,v1,2026-06-14 11:19:48.910386 UTC,2026-06-14 11:19:48.910386 UTC
R005,Cross-Border Transfer Without Control,Privacy Risk,Clause allows broad cross-border transfer without sufficient governance.,"[transfer personal data to any country,without further notice,commercially necessary]",Personal data transfers must be limited to approved jurisdictions and lawful transfer mechanisms.,High,true,v1,2026-06-14 11:19:58.582969 UTC,2026-06-14 11:19:58.582969 UTC
R009,Excessive Data Retention,Privacy Risk,Retention language may be too broad or indefinite.,[retain personal data for as long as needed for business continuity archival analytics or legal purposes],Data should be returned or deleted on termination subject to limited legal retention.,High,true,v1,2026-06-14 11:20:11.597879 UTC,2026-06-14 11:20:11.597879 UTC
R001,Auto Renewal With Long Notice,Renewal Risk,Clause suggests automatic renewal or an onerous non-renewal notice window.,"[automatically renew,automatically renewed,successive two-year periods,notice of non-renewal not less than one hundred and eighty,renew automatically]",Contracts should not auto-renew without explicit customer approval or short notice period.,High,true,v1,2026-06-14 11:19:44.521944 UTC,2026-06-14 11:19:44.521944 UTC
R006,Weak Security Commitment,Security Risk,Security commitment is discretionary and may lack enforceable standards.,"[deems appropriate in its sole discretion,maintain safeguards that it deems appropriate]",Security measures should align with defined standards rather than sole discretion.,High,true,v1,2026-06-14 11:20:02.027434 UTC,2026-06-14 11:20:02.027434 UTC
R007,Delayed Breach Notification,Security Risk,Breach notification timing may be too slow for contractual and regulatory obligations.,"[within fifteen (15) business days,after processor completes its internal investigation]",Breach notifications should occur promptly and within a defined short period.,High,true,v1,2026-06-14 11:20:05.444186 UTC,2026-06-14 11:20:05.444186 UTC
R003,One-Sided Termination,Termination Risk,Clause gives stronger termination flexibility to the counterparty than to the customer.,"[supplier may terminate for convenience,customer may terminate only upon supplier’s written consent,no prepaid fees shall be refunded]",Termination rights should be balanced and not require unilateral supplier consent.,High,true,v1,2026-06-14 11:19:52.123628 UTC,2026-06-14 11:19:52.123628 UTC